ticket_id,created_date,created_datetime,store_location,device_category,issue_type,priority,resolution_minutes,repeat_visit_needed,kb_article_existed
TCK-11287,2025-10-01,2025-10-01 08:42,Parramatta,Register / POS,Payment terminal error,Medium,27,False,True
TCK-12721,2025-10-01,2025-10-01 08:59,Parramatta,Laptop,Software install / update request,Medium,10,False,True
TCK-14500,2025-10-01,2025-10-01 09:16,Bondi Junction,Register / POS,Register freezing / crashing,Low,45,False,False
TCK-12674,2025-10-01,2025-10-01 09:35,Chatswood,Register / POS,Barcode scanner not working,Medium,16,True,True
TCK-11329,2025-10-01,2025-10-01 09:50,Liverpool,Desktop,Screen / hardware fault,Medium,62,False,True
TCK-13342,2025-10-01,2025-10-01 10:49,Castle Hill,Desktop,Screen / hardware fault,Low,54,False,True
TCK-10970,2025-10-01,2025-10-01 11:30,Castle Hill,Desktop,Password reset / login issue,Low,8,True,True
TCK-13357,2025-10-01,2025-10-01 11:54,Bondi Junction,Desktop,Slow computer / performance issue,High,39,False,True
TCK-15176,2025-10-01,2025-10-01 12:29,Parramatta,Register / POS,Barcode scanner not working,Low,14,True,True
TCK-10305,2025-10-01,2025-10-01 12:46,Bondi Junction,Register / POS,Payment terminal error,High,20,True,True
TCK-10387,2025-10-01,2025-10-01 12:54,Liverpool,Desktop,Email / account access issue,Medium,12,False,True
TCK-11336,2025-10-01,2025-10-01 13:22,Parramatta,Register / POS,Payment terminal error,Medium,16,False,True
TCK-13947,2025-10-01,2025-10-01 14:04,Parramatta,Network Equipment,Printer connectivity issue,Medium,23,False,False
TCK-14795,2025-10-01,2025-10-01 14:50,Castle Hill,Register / POS,Register freezing / crashing,High,53,True,False
TCK-13639,2025-10-01,2025-10-01 15:55,Liverpool,Network Equipment,Printer connectivity issue,Medium,37,True,False
TCK-10139,2025-10-01,2025-10-01 16:59,Chatswood,Desktop,Password reset / login issue,Low,9,False,True
TCK-14706,2025-10-01,2025-10-01 17:03,Chatswood,Register / POS,Register freezing / crashing,Low,26,False,False
TCK-10047,2025-10-01,2025-10-01 17:20,Liverpool,Register / POS,Register freezing / crashing,Medium,46,False,False
TCK-13052,2025-10-01,2025-10-01 18:52,Parramatta,Network Equipment,Printer connectivity issue,Medium,31,False,False
TCK-10741,2025-10-01,2025-10-01 20:01,Parramatta,Desktop,Password reset / login issue,Low,15,False,True
