ticket_id,created_date,month_year,month_sort,store_location,device_category,issue_type,priority,resolution_minutes,repeat_visit_needed,repeat_visit_status,kb_article_existed,kb_article_status,total_minutes_incl_repeat
TCK-11287,2025-10-01,Oct 2025,2025-10,Parramatta,Register / POS,Payment terminal error,Medium,27,False,Resolved First Visit,True,Has KB Article,27
TCK-12721,2025-10-01,Oct 2025,2025-10,Parramatta,Laptop,Software install / update request,Medium,10,False,Resolved First Visit,True,Has KB Article,10
TCK-14500,2025-10-01,Oct 2025,2025-10,Bondi Junction,Register / POS,Register freezing / crashing,Low,45,False,Resolved First Visit,False,No KB Article,45
TCK-12674,2025-10-01,Oct 2025,2025-10,Chatswood,Register / POS,Barcode scanner not working,Medium,16,True,Repeat Visit,True,Has KB Article,32
TCK-11329,2025-10-01,Oct 2025,2025-10,Liverpool,Desktop,Screen / hardware fault,Medium,62,False,Resolved First Visit,True,Has KB Article,62
TCK-13342,2025-10-01,Oct 2025,2025-10,Castle Hill,Desktop,Screen / hardware fault,Low,54,False,Resolved First Visit,True,Has KB Article,54
TCK-10970,2025-10-01,Oct 2025,2025-10,Castle Hill,Desktop,Password reset / login issue,Low,8,True,Repeat Visit,True,Has KB Article,16
TCK-13357,2025-10-01,Oct 2025,2025-10,Bondi Junction,Desktop,Slow computer / performance issue,High,39,False,Resolved First Visit,True,Has KB Article,39
TCK-15176,2025-10-01,Oct 2025,2025-10,Parramatta,Register / POS,Barcode scanner not working,Low,14,True,Repeat Visit,True,Has KB Article,28
TCK-10305,2025-10-01,Oct 2025,2025-10,Bondi Junction,Register / POS,Payment terminal error,High,20,True,Repeat Visit,True,Has KB Article,40
TCK-10387,2025-10-01,Oct 2025,2025-10,Liverpool,Desktop,Email / account access issue,Medium,12,False,Resolved First Visit,True,Has KB Article,12
TCK-11336,2025-10-01,Oct 2025,2025-10,Parramatta,Register / POS,Payment terminal error,Medium,16,False,Resolved First Visit,True,Has KB Article,16
TCK-13947,2025-10-01,Oct 2025,2025-10,Parramatta,Network Equipment,Printer connectivity issue,Medium,23,False,Resolved First Visit,False,No KB Article,23
TCK-14795,2025-10-01,Oct 2025,2025-10,Castle Hill,Register / POS,Register freezing / crashing,High,53,True,Repeat Visit,False,No KB Article,106
TCK-13639,2025-10-01,Oct 2025,2025-10,Liverpool,Network Equipment,Printer connectivity issue,Medium,37,True,Repeat Visit,False,No KB Article,74
